subject,idna_subject,expiration_date,epoch
029999.com,029999.com,26-aug-2021,1629936000.0
0538ly.cn,0538ly.cn,31-mar-2021,1617148800.0
08819.com,08819.com,03-feb-2021,1612310400.0
1-1ads.com,1-1ads.com,20-jul-2021,1626739200.0
1788111.com,1788111.com,29-mar-2021,1616976000.0
191gm.com,191gm.com,22-dec-2021,1640131200.0
1phads.com,1phads.com,12-feb-2021,1613088000.0
1rx.io,1rx.io,28-may-2022,1653696000.0
1ts06.top,1ts06.top,28-jan-2021,1611792000.0
207.net,207.net,10-jul-2021,1625875200.0
24log.com,24log.com,26-may-2022,1653523200.0
2mdn.net,2mdn.net,02-may-2021,1619913600.0
360yield.com,360yield.com,02-jun-2021,1622592000.0
365tc.com,365tc.com,07-apr-2021,1617753600.0
3gl.net,3gl.net,22-dec-2021,1640131200.0
4d5.net,4d5.net,01-jun-2021,1622505600.0
4dsply.com,4dsply.com,10-apr-2021,1618012800.0
4info.com,4info.com,28-aug-2023,1693180800.0
4mads.com,4mads.com,08-jul-2021,1625702400.0
4wnet.com,4wnet.com,23-feb-2021,1614038400.0
510w.com,510w.com,10-feb-2021,1612915200.0
51ysxs.com,51ysxs.com,02-oct-2021,1633132800.0
520click.com,520click.com,20-mar-2021,1616198400.0
654v.com,654v.com,25-feb-2021,1614211200.0
75ww.com,75ww.com,09-may-2022,1652054400.0
88-f.net,88-f.net,06-oct-2028,1854403200.0
8883448.com,8883448.com,22-mar-2021,1616371200.0
978qp.com,978qp.com,31-may-2025,1748649600.0
981718.cn,981718.cn,21-dec-2026,1797811200.0
99976.com,99976.com,17-jan-2022,1642377600.0
a-ads.com,a-ads.com,07-jul-2021,1625616000.0
a-mo.net,a-mo.net,08-sep-2021,1631059200.0
a3cloud.net,a3cloud.net,24-jan-2022,1642982400.0
a4.tl,a4.tl,20-sep-2021,1632096000.0
a8.net,a8.net,24-sep-2021,1632441600.0
a9.com,a9.com,07-sep-2024,1725667200.0
aaddzz.com,aaddzz.com,27-feb-2021,1614384000.0
aarki.com,aarki.com,24-jun-2021,1624492800.0
aatkit.com,aatkit.com,12-apr-2021,1618185600.0
abandonedaction.com,abandonedaction.com,17-aug-2021,1629158400.0
abashedangle.com,abashedangle.com,17-aug-2021,1629158400.0
abruptroad.com,abruptroad.com,21-mar-2021,1616284800.0
absoluteclickscom.com,absoluteclickscom.com,10-apr-2021,1618012800.0
absorbingband.com,absorbingband.com,05-oct-2021,1633392000.0
abz.com,abz.com,21-feb-2021,1613865600.0
accengage.com,accengage.com,07-mar-2022,1646611200.0
acento.com,acento.com,25-aug-2024,1724544000.0
aclickads.com,aclickads.com,09-jun-2021,1623196800.0
acsseo.com,acsseo.com,26-jan-2021,1611619200.0
actionsplash.com,actionsplash.com,13-jun-2021,1623542400.0
actualdeals.com,actualdeals.com,01-mar-2021,1614556800.0
actuallysheep.com,actuallysheep.com,21-mar-2021,1616284800.0
acuityads.com,acuityads.com,25-sep-2021,1632528000.0
acuityplatform.com,acuityplatform.com,27-may-2022,1653609600.0
ad-balancer.net,ad-balancer.net,20-may-2021,1621468800.0
ad-brix.com,ad-brix.com,09-apr-2023,1680998400.0
ad-miner.com,ad-miner.com,26-jan-2021,1611619200.0
ad-rotator.com,ad-rotator.com,27-jun-2027,1814054400.0
ad-souk.com,ad-souk.com,15-aug-2021,1628985600.0
ad-space.net,ad-space.net,15-jun-2021,1623715200.0
ad-spb.ru,ad-spb.ru,25-jun-2021,1624579200.0
ad-stir.com,ad-stir.com,11-aug-2021,1628640000.0
ad-tech.com,ad-tech.com,20-may-2021,1621468800.0
